"ID","Meal.Plan.Description","Term.Session.Description","Room.Location.Description","Price.Year"
180187177,"Gold","Fall 2024","Maple Hall",4800
100337475,"Campanile","Fall 2024","Off Campus",3928
130667612,"Cardinal","Fall 2024","Maple Hall",5108
130577667,"Campanile","Fall 2024","Frederiksen Court",3928
150657633,"Cardinal","Fall 2024","Roberts Hall",5108
100617748,"100 Meal Blocks","Fall 2024","Off Campus",1287
130907910,"Campanile","Fall 2024","Off Campus",3928
260587040,"Cardinal","Fall 2024","Eaton Hall",5108
270077061,"Campanile","Fall 2024","Oak Hall",3928
250347323,"Cardinal","Fall 2024","Geoffroy Hall",5108
250467413,"Cardinal","Fall 2024","Eaton Hall",5108
250627680,"Cardinal","Fall 2024","Martin Hall",5108
310017125,"Campanile","Fall 2024","Maple Hall",3928
360217235,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
360407476,"25 Meal Blocks","Fall 2024","University Village",336
360997944,"Cardinal","Fall 2024","Eaton Hall",5108
390977937,"Cardinal","Fall 2024","Maple Hall",5108
420137121,"Cardinal","Fall 2024","Lyon Hall",5108
470297215,"Cardinal","Fall 2024","Larch Hall",5108
430367447,"100 Meal Blocks","Fall 2024","Off Campus",1287
460487414,"50 Meal Blocks","Fall 2024","Off Campus",656
490827808,"50 Meal Blocks","Fall 2024","Off Campus",656
510937055,"Campanile","Fall 2024","Off Campus",3928
540047012,"Cardinal","Fall 2024","Linden Hall",5108
590067077,"Cardinal","Fall 2024","Off Campus",5108
530127181,"25 Meal Blocks","Fall 2024","Friley Hall",336
550317323,"Gold","Fall 2024","Larch Hall",4800
580397305,"Campanile","Fall 2024","Buchanan Hall",3928
530447451,"Cardinal","Fall 2024","Helser Hall",5108
510377635,"Campanile","Fall 2024","Off Campus",3928
580637646,"Cardinal","Fall 2024","Friley Hall",5108
510737729,"Cardinal","Fall 2024","Elm Hall",5108
580797776,"Cardinal","Fall 2024","Eaton Hall",5108
500707828,"Cardinal","Fall 2024","Geoffroy Hall",5108
520937900,"Cardinal","Fall 2024","Frederiksen Court",5108
600987018,"50 Meal Blocks","Fall 2024","Off Campus",656
640147132,"Campanile","Fall 2024","Off Campus",3928
660127174,"Cardinal","Fall 2024","Birch Hall",5108
670527515,"Cardinal","Fall 2024","Friley Hall",5108
610527619,"Gold","Fall 2024","Eaton Hall",4800
670617626,"Cardinal","Fall 2024","Oak Hall",5108
720427408,"Cardinal","Fall 2024","Maple Hall",5108
730587687,"Cardinal","Fall 2024","Lyon Hall",5108
