Rating,Body,Dining Hall,Date,reviewUrl
3,"Food selection is limited. The place still looks a bit old even though it's been recently remodeled. I would have given it two stars, but the bbq brisket pizza I had actually wasn't too bad.",Conversations Dining,9/27/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBMktHbld3EAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICA2KGnWw%7CCgsI_6y13QUQwM3rLg%7C?hl=en
2,,Conversations Dining,11/30/2021,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURHb2FQampBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDGoaPjjAE%7CCgwIt-qYjQYQoJ2i3gI%7C?hl=en
5,Always a good place to eat and work on campus. We always have fresh food friendly service.,Conversations Dining,11/15/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQwcmEzNjBBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgID0ra360AE%7CCgwIq-C87gUQwKCXyQI%7C?hl=en
1,It's better than UDCC but that's like comparing McDonalds to Burger King,Conversations Dining,6/15/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBMXRuRzhnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDA1tnG8gE%7CCgwIpomDuwUQwMavngM%7C?hl=en
5,,Conversations Dining,5/4/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURZZ3R1OFR3EAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDYgtu8Tw%7CCgsIgYq35gUQsKi3Hw%7C?hl=en
5,,Conversations Dining,2/11/2020,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNzX2Z5VXN3RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICs_fyUswE%7CCgwInoyM8gUQ4JWUogM%7C?hl=en
5,Great selection of food. Great customer service too,Conversations Dining,4/19/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNZODhQU2VBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICY88PSeA%7CCgwI84bo5QUQ6Jj3iAI%7C?hl=en
5,,Conversations Dining,12/10/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNJcDltYjRBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICIp9mb4AE%7CCgwIyeK74AUQi4KRtwM%7C?hl=en
5,"Good conversations. Good food, love the ice cream.",Conversations Dining,4/5/2017,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURneVBucVVBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDgyPnqUA%7CCgsIhJiVxwUQgJfIHQ%7C?hl=en
5,,Conversations Dining,5/6/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURZOG9QN1VREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDY8oP7UQ%7CCgwI7tXB5gUQgOKgmQM%7C?hl=en
